"ID","acquisition_date","acquisition_hour","OBJECTID","Permanent_","GNIS_Name","LakeName","LakeID","source","sat"
"37174-1","2022-08-04",11,47651,"122336827","Lake Murray","Lake Murray","MUR","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37174-1","2022-08-04",11,95501,"130875175","Wateree Lake","Lake Wateree","WAT","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"28294-1","2022-08-06",10,47651,"122336827","Lake Murray","Lake Murray","MUR","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28294-1","2022-08-06",10,95501,"130875175","Wateree Lake","Lake Wateree","WAT","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28308-2","2022-08-07",10,1384,"106454929","The Basin","Lake Auburn","AUB","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28308-2","2022-08-07",10,12367,"152433086","Great Pond","Great Pond","GRT","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28308-2","2022-08-07",10,27994,"132665760","Panther Pond","Panther Pond","PAN","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28308-2","2022-08-07",10,29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","Long Pond","LNG","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28308-2","2022-08-07",10,34684,"106454579","Custer Pond","Sabattus Pond","SAB","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28308-2","2022-08-07",10,35119,"152433096","China Lake","China Lake","CHN","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28308-2","2022-08-07",10,12449,"136214359","Indian Lake","Indian Lake","IND","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28308-2","2022-08-07",10,19374,"136215443","Yawgoo Pond","Yawgoo Pond","YAW","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28308-2","2022-08-07",10,22736,"136216759","Barber Pond","Barber Pond","BAR","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28337-1","2022-08-09",11,47651,"122336827","Lake Murray","Lake Murray","MUR","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28337-1","2022-08-09",11,95501,"130875175","Wateree Lake","Lake Wateree","WAT","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28351-1","2022-08-10",10,1384,"106454929","The Basin","Lake Auburn","AUB","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28351-1","2022-08-10",10,12367,"152433086","Great Pond","Great Pond","GRT","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28351-1","2022-08-10",10,27994,"132665760","Panther Pond","Panther Pond","PAN","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28351-1","2022-08-10",10,29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","Long Pond","LNG","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28351-1","2022-08-10",10,34684,"106454579","Custer Pond","Sabattus Pond","SAB","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28351-1","2022-08-10",10,17927,"120804340","Sunapee Lake","Lake Sunapee","SUN","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28351-1","2022-08-10",10,12449,"136214359","Indian Lake","Indian Lake","IND","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28351-1","2022-08-10",10,19374,"136215443","Yawgoo Pond","Yawgoo Pond","YAW","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28351-1","2022-08-10",10,22736,"136216759","Barber Pond","Barber Pond","BAR","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"37274-1","2022-08-11",10,47651,"122336827","Lake Murray","Lake Murray","MUR","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37274-1","2022-08-11",10,95501,"130875175","Wateree Lake","Lake Wateree","WAT","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37274-1","2022-08-11",10,47651,"122336827","Lake Murray","Lake Murray","MUR","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37274-1","2022-08-11",10,95501,"130875175","Wateree Lake","Lake Wateree","WAT","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37288-3","2022-08-12",10,1384,"106454929","The Basin","Lake Auburn","AUB","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37288-3","2022-08-12",10,12367,"152433086","Great Pond","Great Pond","GRT","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37288-3","2022-08-12",10,27994,"132665760","Panther Pond","Panther Pond","PAN","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37288-3","2022-08-12",10,29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","Long Pond","LNG","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37288-3","2022-08-12",10,34684,"106454579","Custer Pond","Sabattus Pond","SAB","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37288-3","2022-08-12",10,35119,"152433096","China Lake","China Lake","CHN","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37288-3","2022-08-12",10,12449,"136214359","Indian Lake","Indian Lake","IND","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37288-3","2022-08-12",10,19374,"136215443","Yawgoo Pond","Yawgoo Pond","YAW","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37288-3","2022-08-12",10,22736,"136216759","Barber Pond","Barber Pond","BAR","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37288-3","2022-08-12",10,1384,"106454929","The Basin","Lake Auburn","AUB","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37288-3","2022-08-12",10,12367,"152433086","Great Pond","Great Pond","GRT","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37288-3","2022-08-12",10,27994,"132665760","Panther Pond","Panther Pond","PAN","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37288-3","2022-08-12",10,29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","Long Pond","LNG","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37288-3","2022-08-12",10,34684,"106454579","Custer Pond","Sabattus Pond","SAB","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37288-3","2022-08-12",10,35119,"152433096","China Lake","China Lake","CHN","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37288-3","2022-08-12",10,12449,"136214359","Indian Lake","Indian Lake","IND","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37288-3","2022-08-12",10,19374,"136215443","Yawgoo Pond","Yawgoo Pond","YAW","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37288-3","2022-08-12",10,22736,"136216759","Barber Pond","Barber Pond","BAR","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37317-1","2022-08-14",11,47651,"122336827","Lake Murray","Lake Murray","MUR","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37317-1","2022-08-14",11,95501,"130875175","Wateree Lake","Lake Wateree","WAT","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37317-1","2022-08-14",11,47651,"122336827","Lake Murray","Lake Murray","MUR","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37317-1","2022-08-14",11,95501,"130875175","Wateree Lake","Lake Wateree","WAT","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"28437-1","2022-08-16",10,47651,"122336827","Lake Murray","Lake Murray","MUR","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28437-1","2022-08-16",10,95501,"130875175","Wateree Lake","Lake Wateree","WAT","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28451-2","2022-08-17",10,1384,"106454929","The Basin","Lake Auburn","AUB","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28451-2","2022-08-17",10,12367,"152433086","Great Pond","Great Pond","GRT","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28451-2","2022-08-17",10,27994,"132665760","Panther Pond","Panther Pond","PAN","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28451-2","2022-08-17",10,29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","Long Pond","LNG","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28451-2","2022-08-17",10,34684,"106454579","Custer Pond","Sabattus Pond","SAB","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28451-2","2022-08-17",10,35119,"152433096","China Lake","China Lake","CHN","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28451-2","2022-08-17",10,12449,"136214359","Indian Lake","Indian Lake","IND","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28451-2","2022-08-17",10,19374,"136215443","Yawgoo Pond","Yawgoo Pond","YAW","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28451-2","2022-08-17",10,22736,"136216759","Barber Pond","Barber Pond","BAR","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28480-1","2022-08-19",11,47651,"122336827","Lake Murray","Lake Murray","MUR","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28480-1","2022-08-19",11,95501,"130875175","Wateree Lake","Lake Wateree","WAT","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28480-1","2022-08-19",11,47651,"122336827","Lake Murray","Lake Murray","MUR","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28480-1","2022-08-19",11,95501,"130875175","Wateree Lake","Lake Wateree","WAT","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28494-1","2022-08-20",10,1384,"106454929","The Basin","Lake Auburn","AUB","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28494-1","2022-08-20",10,12367,"152433086","Great Pond","Great Pond","GRT","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28494-1","2022-08-20",10,27994,"132665760","Panther Pond","Panther Pond","PAN","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28494-1","2022-08-20",10,29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","Long Pond","LNG","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28494-1","2022-08-20",10,34684,"106454579","Custer Pond","Sabattus Pond","SAB","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28494-1","2022-08-20",10,17927,"120804340","Sunapee Lake","Lake Sunapee","SUN","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28494-1","2022-08-20",10,12449,"136214359","Indian Lake","Indian Lake","IND","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28494-1","2022-08-20",10,19374,"136215443","Yawgoo Pond","Yawgoo Pond","YAW","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28494-1","2022-08-20",10,22736,"136216759","Barber Pond","Barber Pond","BAR","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28494-1","2022-08-20",10,1384,"106454929","The Basin","Lake Auburn","AUB","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28494-1","2022-08-20",10,12367,"152433086","Great Pond","Great Pond","GRT","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28494-1","2022-08-20",10,27994,"132665760","Panther Pond","Panther Pond","PAN","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28494-1","2022-08-20",10,29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","Long Pond","LNG","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28494-1","2022-08-20",10,34684,"106454579","Custer Pond","Sabattus Pond","SAB","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28494-1","2022-08-20",10,17927,"120804340","Sunapee Lake","Lake Sunapee","SUN","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28494-1","2022-08-20",10,12449,"136214359","Indian Lake","Indian Lake","IND","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28494-1","2022-08-20",10,19374,"136215443","Yawgoo Pond","Yawgoo Pond","YAW","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"28494-1","2022-08-20",10,22736,"136216759","Barber Pond","Barber Pond","BAR","documents/247904/4742649/MP_ACQ__KML_20220804T120000_20220822T150000.kml","S2b"
"37417-1","2022-08-21",10,47651,"122336827","Lake Murray","Lake Murray","MUR","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37417-1","2022-08-21",10,95501,"130875175","Wateree Lake","Lake Wateree","WAT","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37431-3","2022-08-22",10,1384,"106454929","The Basin","Lake Auburn","AUB","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37431-3","2022-08-22",10,12367,"152433086","Great Pond","Great Pond","GRT","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37431-3","2022-08-22",10,27994,"132665760","Panther Pond","Panther Pond","PAN","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37431-3","2022-08-22",10,29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","Long Pond","LNG","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37431-3","2022-08-22",10,34684,"106454579","Custer Pond","Sabattus Pond","SAB","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37431-3","2022-08-22",10,35119,"152433096","China Lake","China Lake","CHN","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37431-3","2022-08-22",10,12449,"136214359","Indian Lake","Indian Lake","IND","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37431-3","2022-08-22",10,19374,"136215443","Yawgoo Pond","Yawgoo Pond","YAW","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37431-3","2022-08-22",10,22736,"136216759","Barber Pond","Barber Pond","BAR","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37460-1","2022-08-24",11,47651,"122336827","Lake Murray","Lake Murray","MUR","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"37460-1","2022-08-24",11,95501,"130875175","Wateree Lake","Lake Wateree","WAT","documents/247904/4742646/MP_ACQ__KML_20220811T120000_20220829T150000.kml","S2a"
"28580-1","2022-08-26",10,47651,"122336827","Lake Murray","Lake Murray","MUR","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28580-1","2022-08-26",10,95501,"130875175","Wateree Lake","Lake Wateree","WAT","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28594-2","2022-08-27",10,1384,"106454929","The Basin","Lake Auburn","AUB","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28594-2","2022-08-27",10,12367,"152433086","Great Pond","Great Pond","GRT","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28594-2","2022-08-27",10,27994,"132665760","Panther Pond","Panther Pond","PAN","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28594-2","2022-08-27",10,29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","Long Pond","LNG","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28594-2","2022-08-27",10,34684,"106454579","Custer Pond","Sabattus Pond","SAB","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28594-2","2022-08-27",10,35119,"152433096","China Lake","China Lake","CHN","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28594-2","2022-08-27",10,12449,"136214359","Indian Lake","Indian Lake","IND","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28594-2","2022-08-27",10,19374,"136215443","Yawgoo Pond","Yawgoo Pond","YAW","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28594-2","2022-08-27",10,22736,"136216759","Barber Pond","Barber Pond","BAR","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28623-1","2022-08-29",11,47651,"122336827","Lake Murray","Lake Murray","MUR","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28623-1","2022-08-29",11,95501,"130875175","Wateree Lake","Lake Wateree","WAT","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28637-1","2022-08-30",10,1384,"106454929","The Basin","Lake Auburn","AUB","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28637-1","2022-08-30",10,12367,"152433086","Great Pond","Great Pond","GRT","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28637-1","2022-08-30",10,27994,"132665760","Panther Pond","Panther Pond","PAN","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28637-1","2022-08-30",10,29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","Long Pond","LNG","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28637-1","2022-08-30",10,34684,"106454579","Custer Pond","Sabattus Pond","SAB","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28637-1","2022-08-30",10,17927,"120804340","Sunapee Lake","Lake Sunapee","SUN","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28637-1","2022-08-30",10,12449,"136214359","Indian Lake","Indian Lake","IND","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28637-1","2022-08-30",10,19374,"136215443","Yawgoo Pond","Yawgoo Pond","YAW","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
"28637-1","2022-08-30",10,22736,"136216759","Barber Pond","Barber Pond","BAR","documents/247904/4742649/MP_ACQ__KML_20220818T120000_20220905T150000.kml","S2b"
